lat,lng,n_records,flex_mean,gsr_mean,bpm_mean
45.431857,12.350858,1,33,325,110
45.431862,12.350796,1,17,331,111
45.431871,12.35085,5,20,340.4,115.8
45.431881,12.350826,1,24,346,112
45.431884,12.350848,1,19,318,112
45.431892,12.350802,6,19.333,340.333,106.833
45.431905,12.350901,1,16,354,110
45.431924,12.350744,22,23.182,350.455,111
45.431926,12.350953,6,22.667,334.5,107.167
45.431969,12.351555,1,14,380,107
45.431976,12.351108,11,18.364,326.455,111.545
45.431977,12.351543,1,22,386,107
45.431987,12.351606,1,22,334,124
45.432,12.351403,1,25,369,101
45.432006,12.351604,1,17,331,117
45.432008,12.35059,5,35.8,357,113.8
45.432014,12.351599,1,27,376,110
45.432014,12.351582,2,14.5,322,115
45.432017,12.351566,1,25,310,108
45.432023,12.351379,1,17,383,104
45.432023,12.351436,1,25,295,104
45.432023,12.351481,6,20.167,316.167,106.333
45.432023,12.351751,11,19.182,337,115.091
45.432027,12.351379,6,19,360.167,110.167
45.432027,12.351436,2,26.5,346.5,91.5
45.432029,12.351306,16,23.812,355.25,109.875
45.432029,12.351478,5,22.8,332.6,112.4
45.432031,12.350547,7,26.714,349.571,114.857
45.432038,12.352111,1,32,281,102
45.432039,12.351487,1,19,340,109
45.43204,12.35182,5,19.2,323.2,117
45.432041,12.351627,1,27,352,123
45.432046,12.351963,11,20.909,344.273,116
45.432051,12.351984,1,10,382,112
45.432056,12.352004,1,23,294,106
45.43206,12.353316,1,15,367,112
45.43206,12.352025,1,17,380,114
45.432061,12.352173,1,29,316,108
45.432063,12.351561,1,17,361,102
45.432064,12.353316,1,20,343,113
45.432065,12.35268,11,22.091,316.636,112.273
45.432065,12.352751,6,22.333,320.333,110.667
45.432065,12.352045,1,20,369,103
45.43207,12.352066,1,14,361,99
45.432071,12.352131,3,27.667,292.333,111.333
45.432072,12.350481,12,22,347.25,111.917
45.432073,12.352818,5,27,322.2,113
45.432075,12.352086,1,25,385,118
45.432083,12.353292,1,17,347,108
45.432086,12.352884,6,23,310.5,107.167
45.432087,12.353285,1,16,313,120
45.432088,12.352912,1,19,352,106
45.432088,12.352507,21,23.714,327.619,106.048
45.432088,12.353396,1,19,296,96
45.432089,12.352941,4,17.5,337.75,108.25
45.432094,12.352174,16,21.75,331.25,110.5
45.432095,12.35301,6,21.667,305,99.667
45.432097,12.353361,1,17,268,121
45.432098,12.353262,1,25,329,101
45.432099,12.352223,5,22.4,331.8,114.4
45.432102,12.353065,5,21,307.8,92.6
45.432103,12.353386,1,26,271,118
45.432107,12.353097,6,22,289.167,97.333
45.432108,12.353362,1,18,270,109
45.432108,12.353297,1,17,284,117
45.432114,12.353314,1,29,274,105
45.432117,12.353276,1,11,363,108
45.432122,12.353333,1,16,308,117
45.432123,12.353308,1,19,292,113
45.432125,12.353269,1,19,357,108
45.432127,12.353456,7,19.714,305.857,114.857
45.432127,12.353385,1,19,337,91
45.432128,12.35353,5,21.2,318.4,119.2
45.43213,12.353412,1,19,284,118
45.432132,12.353308,1,18,289,113
45.432133,12.353197,1,32,338,117
45.432135,12.350367,5,15,337.2,116.4
45.432143,12.353342,1,16,335,116
45.432144,12.353612,6,20.333,276.333,116.167
45.432145,12.353693,5,21.4,292.8,107
45.432146,12.353309,1,27,366,118
45.432148,12.353398,1,28,299,108
45.432156,12.353944,6,17.833,287.167,97
45.432157,12.353372,1,25,324,109
45.432161,12.350319,4,14.75,322,116.25
45.432162,12.350316,1,15,325,105
45.432163,12.353327,1,16,310,108
45.432163,12.350314,1,17,348,95
45.432163,12.353789,6,21.167,289.5,107.667
45.432164,12.350311,5,14.4,327.8,85
45.432165,12.350308,9,17.333,365.444,101.333
45.432166,12.350307,1,28,400,97
45.432166,12.350307,1,27,392,98
45.432167,12.350306,1,25,395,113
45.432167,12.350306,1,27,378,112
45.432168,12.350305,1,27,391,110
45.432168,12.353873,5,18,267.6,92.6
45.432168,12.353324,1,16,306,100
45.432168,12.350304,1,27,358,118
45.432169,12.350304,1,26,375,112
45.432169,12.354026,5,29.4,320.8,107
45.432169,12.350303,1,13,314,120
45.43217,12.350302,1,20,338,124
45.43217,12.350302,1,19,356,122
45.432171,12.350301,1,25,365,112
45.432171,12.350301,1,20,340,116
45.432172,12.350299,5,23,345.2,102.2
45.432172,12.3503,6,19.667,342.333,107.833
45.432188,12.350252,6,20.167,363.833,108.167
45.432217,12.354126,6,21.333,312.167,106.667
45.432219,12.350188,16,19.625,362.375,112
45.432275,12.350065,16,22.375,359,111.312
45.432276,12.350065,6,21,354.5,111.833
45.432326,12.349992,6,21.167,352.5,107.167
45.432363,12.349945,5,21,381.4,109
45.432388,12.349914,11,22.182,359.545,112.636
45.432472,12.349817,6,27.5,350.833,119.5
45.432509,12.349752,5,36.8,364.2,117.2
45.432553,12.349684,11,30.545,358.818,106.636
45.432556,12.34959,1,21,362,98
45.432558,12.349597,1,38,338,103
45.432591,12.349611,1,20,378,91
45.4326,12.349524,1,30,407,93
45.432604,12.3496,5,31,369.2,95.2
45.432606,12.349593,17,25.412,373.471,109
45.43261,12.349673,1,28,342,93
45.432632,12.349527,1,26,391,89
45.432635,12.349539,1,38,366,112
45.432637,12.349625,1,28,327,104
45.43264,12.349666,1,14,412,97
45.432649,12.349608,1,23,385,96
45.432654,12.349626,1,19,398,92
45.432702,12.349446,7,28.571,386.857,116.714
45.432719,12.349399,5,28.2,366.4,108.6
45.432749,12.349345,7,21.571,372.286,115.143
45.432806,12.349257,5,20.8,374.2,110.4
45.432838,12.349191,7,22.286,379.571,107.429
45.432878,12.349123,5,24.4,376.8,118.2
45.432903,12.34906,7,17.571,390.143,114
45.432944,12.348995,5,18.6,375.2,110.6
45.432978,12.348865,1,17,340,109
45.432978,12.348936,2,14,404,121.5
45.432985,12.348862,1,14,364,109
45.433001,12.348906,1,15,428,117
45.433012,12.348829,1,20,431,111
45.433014,12.348871,1,14,378,117
45.433019,12.348905,1,23,387,112
45.433022,12.348862,1,26,399,109
45.433026,12.348856,1,17,416,107
45.433029,12.348781,1,16,419,104
45.43303,12.348923,1,20,401,110
45.433035,12.348862,1,18,413,116
45.433044,12.348764,1,19,351,102
45.433046,12.348909,1,18,421,111
45.433047,12.348829,1,17,346,101
45.433062,12.348788,1,15,408,106
45.433063,12.348863,1,17,381,103
45.433083,12.348716,1,17,363,92
45.433087,12.348821,1,23,418,104
45.433095,12.348902,1,18,393,104
45.433113,12.348806,1,15,418,90
45.43313,12.348711,6,18.833,395.833,114.333
45.43316,12.34866,1,19,380,113
45.433163,12.34866,5,19.2,385.4,119.6
45.433193,12.348613,7,24.143,386.429,116
45.433231,12.348536,4,26.5,398.75,116.5
45.433261,12.348536,1,23,424,108
45.433266,12.348458,7,19.857,389,118
45.433311,12.348378,5,19.4,366.2,111.2
45.433347,12.348327,7,20.714,365.286,111
45.433365,12.348289,5,27,415.2,114.8
45.433377,12.348094,1,37,408,114
45.433388,12.348229,7,23.857,388.429,109
45.433415,12.34817,5,20.6,388.6,111.6
45.433416,12.348161,1,37,379,114
45.433417,12.348169,7,20.143,379.429,118
45.433432,12.348145,1,35,404,112
45.433436,12.348145,1,35,354,113
45.433452,12.348097,7,36,408.429,119
45.433489,12.348135,1,26,398,112
45.433492,12.348028,4,32.5,393.25,114.25
45.433511,12.347977,1,29,425,113
45.433517,12.347977,7,18.286,390.714,111.286
45.433554,12.347882,5,15.6,394.8,111.2
45.433577,12.347814,7,20.286,387,119.286
45.433603,12.347712,22,18.318,367.227,112
45.433663,12.347375,1,22,344,109
45.433664,12.347375,5,21.8,372.8,101.4
45.433669,12.347372,6,18.167,340.167,112.333
45.433675,12.34738,6,18.5,322.167,108.833
45.433732,12.347422,18,19.278,336.278,111.333
45.433839,12.347673,22,19.545,351.864,90.909
45.433897,12.347463,5,23.8,350.8,112.8
45.433901,12.347557,5,17.4,365,108.6
45.433945,12.347436,1,27,386,114
45.433947,12.347758,6,20.167,368.667,96.167
45.433952,12.34743,12,20.75,346.333,113.25
45.433953,12.347429,6,17.667,358.833,120
45.433995,12.347751,1,11,319,92
45.434039,12.347737,1,14,346,94
45.434055,12.347699,1,12,303,91
45.434066,12.347737,1,12,335,94
45.434067,12.347767,1,11,373,86
45.434076,12.347803,1,11,363,93
45.434077,12.347773,1,17,348,92
45.434093,12.347628,1,15,338,87
45.434094,12.347736,1,13,356,93
45.434098,12.347679,1,11,369,90
45.434259,12.347698,11,14.273,353.273,92.545
45.43455,12.347574,4,14,346.25,97.75
45.43463,12.347574,1,11,332,101
45.434641,12.347471,11,16,357,95.455
45.434657,12.347206,16,15.125,357.188,96.625
45.434658,12.347345,11,15.818,359.818,92.273
45.434668,12.346967,11,24.545,355.545,92.091
45.43474,12.346885,11,22.636,356.636,85.364
45.434787,12.346945,5,12,350.4,87.2
45.434829,12.346975,21,11.095,350.238,103.524
45.434942,12.346876,21,11.952,351.571,107.238
45.435157,12.346851,6,16.667,342.333,109.167
45.435201,12.346826,21,15.429,344.667,105.714
45.435364,12.34646,5,8.6,340,116.2
45.435408,12.346357,16,11.5,346.125,99.875
45.435491,12.346188,5,18,338.4,110.4
45.435503,12.346174,6,16,325.667,99.167
45.435514,12.34616,11,29.182,340.545,93.818
45.435528,12.346145,5,26,350.8,98.6
45.435537,12.34614,1,17,390,94
45.435538,12.346139,11,25.545,340.364,114
45.435569,12.346209,1,36,366,127
45.435576,12.346121,2,25,332,114.5
45.435581,12.346125,1,28,361,120
45.435609,12.346121,1,27,309,121
45.435639,12.3461,12,23.75,351.25,110
45.435657,12.346136,1,17,386,124
45.435661,12.34607,5,17.4,347.8,121.4
45.435682,12.346051,5,19.2,352,119.6
45.435687,12.346067,1,17,323,105
45.435691,12.346033,5,26,324.8,107.2
45.43571,12.346074,1,18,289,94
45.435742,12.346009,7,25.429,356.286,114
45.435788,12.345985,5,31.2,320.8,117.4
45.435793,12.345979,7,22,341,104
45.435819,12.345945,5,24.2,370.4,109
45.435869,12.345915,6,23.5,330,107.667
45.435926,12.345898,5,23.4,328.6,88.8
45.435959,12.345891,6,21.833,338.5,82.5
45.435974,12.345871,5,18.4,320.2,96.6
45.43599,12.345849,7,23.143,332.714,110.429
45.436029,12.345819,5,22.2,322,115.4
45.436084,12.345788,7,35.571,328.429,115.286
45.436148,12.345775,7,23.857,325.286,107
45.436149,12.345787,1,17,317,106
45.436157,12.345841,1,30,311,103
45.436164,12.345788,1,22,358,89
45.436179,12.34582,1,27,337,106
45.436186,12.345771,1,30,274,107
45.436201,12.345794,1,25,303,103
45.436206,12.345761,1,21,292,98
45.436216,12.345805,1,10,331,94
45.436244,12.345768,1,20,344,94
45.436249,12.345811,18,22.722,288.944,111.889
45.436332,12.34587,12,32.833,286.25,112.917
45.436441,12.345884,6,25,278.333,114
45.436527,12.345889,6,17.167,304.833,104.833
45.436595,12.345902,6,17.667,311.167,114.167
45.436631,12.345938,6,19.5,320.833,100.833
45.436644,12.345958,7,22.857,303.429,104
45.436648,12.345931,1,46,298,117
45.436652,12.345941,1,31,302,103
45.436657,12.3459,1,51,304,111
45.43666,12.345953,1,29,306,110
45.436666,12.34597,1,23,286,111
45.43668,12.345942,1,21,315,105
45.436688,12.345989,1,23,264,96
45.436714,12.34599,1,21,266,92
45.436714,12.346285,1,7,238,116
45.436716,12.346025,12,29.5,300,111.417
45.43672,12.346284,5,8.6,242,115.8
45.436723,12.346205,17,10.471,251.176,114.235
45.436724,12.346171,7,19.714,241.714,110.714
45.436736,12.346135,4,11.75,265.75,89.75
45.436736,12.345991,1,32,289,120
45.436758,12.346058,6,17,270.167,104.333
45.436769,12.346052,6,18.167,276.5,109
45.436787,12.34605,12,17.417,276.917,119.417
45.4368,12.346267,6,12.333,250.167,112
45.436835,12.346246,5,8,260.6,119.8
45.436844,12.346254,12,16.25,237.833,110.167
45.436909,12.346285,6,12,226.333,120.333
45.436951,12.346296,11,12,244,105
45.437041,12.346314,12,12.917,228.417,109
45.4371,12.346179,1,21,204,85
45.437117,12.346231,4,16.25,236,79.25
45.43719,12.34608,11,27.182,232.545,109.182
45.437194,12.346082,6,30.333,244.5,117.833
45.437203,12.346073,1,39,211,121
45.437207,12.346203,6,22.667,230.667,106.5
45.437217,12.346067,1,20,235,125
45.43723,12.34606,1,45,215,107
45.43723,12.346109,6,41.667,237.167,117
45.437243,12.346053,1,42,205,100
45.437256,12.346183,5,12.8,237,117.4
45.437256,12.346046,1,32,239,109
45.43727,12.34604,1,43,214,120
45.437278,12.346175,6,6.667,227.833,109.667
45.437283,12.346033,2,17.5,223,111.5
45.437284,12.346186,6,11.833,226.333,113.667
45.437291,12.345957,1,25,209,115
45.437296,12.346141,6,9,248.5,110.833
45.437305,12.345963,1,26,258,115
45.437317,12.346033,1,22,218,116
45.437331,12.346005,1,30,257,109
45.437344,12.346013,6,16.667,241.167,100.333
45.437413,12.346,5,16,224,102.2
45.437472,12.345973,6,19.167,217.833,109.667
45.437554,12.345923,6,18.833,225.667,109.5
45.437621,12.345848,17,21.059,227.824,110.353
45.437902,12.34579,6,17.667,231.5,113.5
45.437953,12.345792,12,23,235.583,115.833
45.438036,12.345785,29,30,235.586,108.138
45.438051,12.345427,1,32,228,105
45.438053,12.345514,1,29,203,113
45.438053,12.345492,1,39,333,110
45.438069,12.345447,1,29,206,113
45.438077,12.34547,1,20,340,119
45.438079,12.345414,1,19,210,110
45.438086,12.345441,11,25.545,236.455,103.909
45.438099,12.345428,1,38,211,108
45.438102,12.34555,7,36.429,229.857,108.714
45.438104,12.345519,1,29,218,113
45.438107,12.345415,1,36,250,121
45.43811,12.345411,1,37,225,107
45.43816,12.345646,6,29.167,223,107
45.438181,12.345493,12,21.417,231.417,121.417
45.438219,12.345723,12,31,227.667,115.333
45.438277,12.345489,6,19.833,223.833,120.667
45.43835,12.345481,6,20.5,235.667,120.5
45.438407,12.345469,6,23.5,245.167,112.833
45.438435,12.345466,12,23.583,239.5,114.417
45.438468,12.345448,9,24.333,269.778,112.444
45.438531,12.345495,1,13,223,120
45.438545,12.345495,1,20,242,123
45.438552,12.345542,5,20,280.2,119.4
45.438577,12.345461,1,9,211,123
45.438612,12.345647,12,19,250.5,120.667
45.438757,12.345618,6,21.167,276.167,120.833
45.438765,12.3456,6,18.667,220,120.333
45.438788,12.345615,6,18.167,228.333,120.333
45.438847,12.345631,6,21.5,250.5,111
45.438877,12.345638,6,16.5,281.833,110.833
45.438905,12.345571,1,13,286,103
45.438918,12.345642,1,14,262,97
45.438924,12.345642,1,20,293,97
45.438934,12.345588,1,18,238,113
45.438944,12.345767,1,10,307,105
45.43899,12.345656,6,20.167,238.167,117
45.439051,12.345667,28,19.607,247.821,115.071
45.439308,12.345667,1,22,284,119
45.439314,12.345614,1,29,287,122
45.439326,12.345553,5,18.4,262.6,109
45.439469,12.345449,41,19.951,258.732,115.805
45.439819,12.345456,10,18.7,236.9,118.1
45.439895,12.345488,1,11,220,120
45.43991,12.345449,7,23,248.143,113.286
45.439934,12.345392,1,29,248,124
45.439958,12.345428,6,25,231.667,118.5
45.43996,12.345348,1,27,211,116
45.439966,12.345325,1,13,257,113
45.439968,12.34526,1,19,237,119
45.439972,12.345365,1,28,275,120
45.43998,12.345351,1,16,243,114
45.439981,12.345301,1,21,278,112
45.439995,12.345283,1,19,296,119
45.439995,12.345357,1,10,302,111
45.439996,12.34536,1,28,239,101
45.440003,12.345321,1,22,211,119
45.440009,12.345335,1,12,248,108
45.440022,12.345198,1,14,279,125
45.440032,12.345333,1,30,242,119
45.440034,12.345329,1,17,217,115
45.440045,12.345284,1,22,222,117
45.440046,12.345318,1,14,263,109
45.440153,12.345214,7,18.429,255.857,108.286
45.440237,12.333817,4,21.5,260,112.5
45.440259,12.345093,5,22.4,273.4,81
45.440303,12.345028,6,16.333,247.833,70.833
45.440352,12.344958,11,17.636,245.727,91.091
45.440452,12.344857,8,21.375,264.5,83.75
45.440486,12.344822,1,26,229,102
45.440529,12.344857,1,14,253,102
45.440537,12.344857,1,25,222,102
45.440549,12.344735,16,18,245.75,105.25
45.440712,12.344592,6,15.667,280.167,110.833
45.440764,12.344569,5,14.6,268.6,101.2
45.440786,12.344576,7,19.429,270.286,111.429
45.440792,12.344577,11,20.273,251.727,92.091
45.440798,12.344579,7,16.429,219,107.429
45.440806,12.344584,5,18.8,246.2,119.8
45.440808,12.344579,5,22.2,220.4,114.8
45.440816,12.344578,8,21.625,222.5,119.125
45.440819,12.344594,7,22,265.143,107.286
45.440828,12.344599,16,17.5,225,99.875
45.440833,12.344595,10,19.4,227.9,109
